,precision,recall,f1-score,support
Amyotrophic_Lateral_Sclerosis,0.16666666666666666,0.9,0.28125,10.0
Asthma,0.8308457711442786,0.35289974172340927,0.495385629531971,4259.0
COPD,0.33827893175074186,0.5533980582524272,0.4198895027624309,412.0
COVID19,0.28792134831460675,0.5036855036855037,0.36639857015192134,407.0
Chronic_Kidney_Disease,0.5234765234765235,0.5245245245245245,0.524,999.0
Common_Cold,0.36707152496626183,0.6085011185682326,0.45791245791245794,447.0
Coronary_Artery_Disease,0.171875,0.717391304347826,0.2773109243697479,184.0
Cystic_Fibrosis,0.8461538461538461,1.0,0.9166666666666666,33.0
Depression,0.32662721893491126,0.5948275862068966,0.4216959511077158,464.0
Ehlers_Danlos_Syndrome,0.15789473684210525,0.6,0.25,5.0
Epilepsy,0.16793893129770993,0.9041095890410958,0.2832618025751073,73.0
Flu,0.44545454545454544,0.49782293178519593,0.4701850582590816,689.0
Gastritis,0.42570647219690066,0.5270880361173815,0.47100353000504286,886.0
Generalized_Anxiety_Disorder,0.0625,0.5789473684210527,0.11282051282051282,19.0
Hypertension,0.3034257748776509,0.5653495440729484,0.39490445859872614,329.0
Hyperthyroidism,0.702020202020202,0.3880874825500233,0.4998501648186994,2149.0
Hypothyroidism,0.2305084745762712,0.6053412462908012,0.33387888707037644,337.0
Irritable_Bowel_Syndrome,0.6426332288401254,0.3407202216066482,0.44532947139753803,1805.0
Marfan_Syndrome,0.15384615384615385,1.0,0.26666666666666666,6.0
Migraine,0.09302325581395349,0.7741935483870968,0.16608996539792387,93.0
Obesity,0.5910623946037099,0.44621260343730107,0.5085237577076532,1571.0
Osteoarthritis,0.4721233689205219,0.46658851113716293,0.4693396226415094,853.0
Osteopetrosis,0.1794871794871795,0.7777777777777778,0.2916666666666667,9.0
Peptic_Ulcer_Disease,0.5784392598551891,0.6161096829477292,0.5966804979253112,1167.0
Pneumonia,0.5529411764705883,0.4341801385681293,0.48641655886157825,1299.0
Polycystic_Ovary_Syndrome,0.2885117493472585,0.6071428571428571,0.3911504424778761,364.0
Stroke,0.056338028169014086,0.3076923076923077,0.09523809523809523,13.0
Systemic_Lupus_Erythematosus,0.0859375,0.7096774193548387,0.15331010452961671,31.0
Tuberculosis,0.11458333333333333,0.8461538461538461,0.2018348623853211,13.0
Type2_Diabetes,0.5555555555555556,0.4770992366412214,0.5133470225872689,1048.0
