,Amyotrophic_Lateral_Sclerosis,Asthma,COPD,COVID19,Chronic_Kidney_Disease,Common_Cold,Coronary_Artery_Disease,Cystic_Fibrosis,Depression,Ehlers_Danlos_Syndrome,Epilepsy,Flu,Gastritis,Generalized_Anxiety_Disorder,Hypertension,Hyperthyroidism,Hypothyroidism,Irritable_Bowel_Syndrome,Marfan_Syndrome,Migraine,Obesity,Osteoarthritis,Osteopetrosis,Peptic_Ulcer_Disease,Pneumonia,Polycystic_Ovary_Syndrome,Stroke,Systemic_Lupus_Erythematosus,Tuberculosis,Type2_Diabetes
Amyotrophic_Lateral_Sclerosis,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,5,1503,80,112,126,125,105,1,116,2,99,94,150,51,111,116,168,128,6,153,133,112,7,207,140,113,19,83,22,172
COPD,3,5,228,7,5,1,20,1,9,1,3,13,16,3,2,16,14,6,0,17,12,5,0,4,2,12,0,5,0,2
COVID19,1,5,12,205,7,10,15,0,15,0,18,16,8,3,3,3,13,6,1,20,4,4,1,4,10,14,0,1,3,5
Chronic_Kidney_Disease,1,15,11,20,524,13,41,0,26,0,16,12,39,10,25,12,33,7,8,41,24,18,0,36,11,27,2,7,2,18
Common_Cold,1,3,8,8,7,272,11,0,7,2,1,9,11,0,16,4,12,9,1,23,9,3,2,3,9,7,2,5,0,2
Coronary_Artery_Disease,0,1,2,1,1,0,132,0,3,0,3,1,8,0,2,2,6,0,0,12,3,1,0,0,2,3,1,0,0,0
Cystic_Fibrosis,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression,2,7,17,4,11,2,18,0,276,2,7,17,9,2,14,9,6,3,1,19,10,9,1,3,3,6,0,0,0,6
Ehlers_Danlos_Syndrome,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Epilepsy,0,2,0,2,1,0,0,0,0,0,66,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Flu,1,6,27,21,8,5,18,0,31,1,17,343,10,8,9,12,22,21,2,32,9,19,1,11,16,28,0,1,1,9
Gastritis,0,7,14,37,37,23,40,0,10,0,13,7,467,8,19,17,39,7,4,34,16,13,3,12,22,21,1,6,1,8
Generalized_Anxiety_Disorder,0,1,0,1,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Hypertension,0,1,9,5,6,11,12,0,6,0,2,5,8,1,186,2,10,3,1,9,4,9,0,5,4,20,1,2,1,6
Hyperthyroidism,4,62,89,51,59,49,102,2,62,1,31,46,155,16,45,834,90,43,1,58,50,57,7,27,56,62,5,37,12,36
Hypothyroidism,0,1,6,7,3,10,11,0,6,1,3,9,14,2,9,4,204,3,0,17,4,7,0,2,2,9,1,2,0,0
Irritable_Bowel_Syndrome,3,58,42,50,48,54,71,0,62,4,57,67,51,16,42,52,88,615,1,55,91,69,2,47,59,39,9,16,6,31
Marfan_Syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Migraine,2,0,1,3,0,3,0,0,3,0,0,0,1,0,1,0,1,0,0,72,0,0,0,1,0,3,0,1,0,1
Obesity,10,32,26,51,66,63,42,1,59,1,29,33,44,14,22,22,57,43,3,50,701,46,2,10,38,40,5,13,7,41
Osteoarthritis,5,9,24,19,22,17,32,1,41,0,13,26,15,2,16,16,35,10,1,36,24,398,2,29,22,19,2,2,3,12
Osteopetrosis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Peptic_Ulcer_Disease,2,22,20,36,11,10,22,0,33,0,4,22,23,7,14,14,25,16,1,24,18,22,1,719,25,39,2,4,5,26
Pneumonia,2,25,27,39,30,47,36,0,41,1,8,19,39,7,42,36,24,11,1,49,46,27,1,70,564,46,11,22,10,18
Polycystic_Ovary_Syndrome,0,3,9,5,5,4,9,0,8,0,2,9,7,2,13,1,20,3,0,13,1,4,0,10,7,221,1,1,0,6
Stroke,0,3,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
Systemic_Lupus_Erythematosus,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,22,1,0
Tuberculosis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
Type2_Diabetes,3,36,21,26,22,20,30,0,31,0,1,20,20,11,22,14,18,22,1,40,25,20,2,43,26,36,3,24,11,500
