disease,sample_count,status
Metabolic_Syndrome,1,rare
Urinary_Tract_Infection,2,rare
Typhoid_Fever,2,rare
Psoriasis,2,rare
Acute_Gastroenteritis,3,rare
Crohn_Disease,4,rare
Fanconi_Anemia,4,rare
Chronic_Liver_Disease,5,rare
Ulcerative_Colitis,7,rare
Gaucher_Disease,12,rare
Multiple_Sclerosis,12,rare
Inflammatory_Bowel_Disease,14,rare
Niemann_Pick_Disease,14,rare
Spinal_Muscular_Atrophy,17,rare
Dengue,17,rare
Cirrhosis,18,rare
Ehlers_Danlos_Syndrome,24,supported
Marfan_Syndrome,29,supported
Osteopetrosis,46,supported
Amyotrophic_Lateral_Sclerosis,50,supported
Stroke,64,supported
Tuberculosis,67,supported
Generalized_Anxiety_Disorder,95,supported
Systemic_Lupus_Erythematosus,156,supported
Cystic_Fibrosis,164,supported
Epilepsy,366,supported
Migraine,467,supported
Coronary_Artery_Disease,922,supported
Hypertension,1647,supported
Hypothyroidism,1683,supported
Polycystic_Ovary_Syndrome,1820,supported
COVID19,2033,supported
COPD,2060,supported
Common_Cold,2236,supported
Depression,2321,supported
Flu,3444,supported
Osteoarthritis,4264,supported
Gastritis,4431,supported
Chronic_Kidney_Disease,4993,supported
Type2_Diabetes,5239,supported
Peptic_Ulcer_Disease,5834,supported
Pneumonia,6493,supported
Obesity,7853,supported
Irritable_Bowel_Syndrome,9023,supported
Hyperthyroidism,10747,supported
Asthma,21295,supported
