disease,precision,recall,f1-score,support
Amyotrophic_Lateral_Sclerosis,0.0,0.0,0.0,10.0
Asthma,0.4118447923757658,0.4261563747358535,0.41887837525963534,4259.0
COPD,0.12168141592920353,0.13349514563106796,0.12731481481481483,412.0
COVID19,0.04975124378109453,0.04914004914004914,0.049443757725587144,407.0
Chronic_Kidney_Disease,0.18655967903711135,0.18618618618618618,0.18637274549098196,999.0
Common_Cold,0.06535947712418301,0.06711409395973154,0.06622516556291391,447.0
Coronary_Artery_Disease,0.06091370558375635,0.06521739130434782,0.06299212598425197,184.0
Cystic_Fibrosis,0.0,0.0,0.0,33.0
Depression,0.10934393638170974,0.11853448275862069,0.11375387797311272,464.0
Ehlers_Danlos_Syndrome,0.0,0.0,0.0,5.0
Epilepsy,0.060240963855421686,0.0684931506849315,0.0641025641025641,73.0
Flu,0.15177304964539007,0.15529753265602322,0.15351506456241032,689.0
Gastritis,0.1792152704135737,0.19074492099322798,0.18480043739748497,886.0
Generalized_Anxiety_Disorder,0.0,0.0,0.0,19.0
Hypertension,0.07714285714285714,0.08206686930091185,0.07952871870397643,329.0
Hyperthyroidism,0.2604517059106199,0.25221033038622614,0.25626477541371157,2149.0
Hypothyroidism,0.0953757225433526,0.09792284866468842,0.09663250366032211,337.0
Irritable_Bowel_Syndrome,0.22557230597431602,0.22382271468144044,0.22469410456062291,1805.0
Marfan_Syndrome,0.0,0.0,0.0,6.0
Migraine,0.036585365853658534,0.03225806451612903,0.03428571428571429,93.0
Obesity,0.25193798449612403,0.24824952259707192,0.25008015389547933,1571.0
Osteoarthritis,0.15058823529411763,0.15005861664712777,0.15032295948326482,853.0
Osteopetrosis,0.0,0.0,0.0,9.0
Peptic_Ulcer_Disease,0.31368993653671806,0.29648671808054844,0.3048458149779736,1167.0
Pneumonia,0.19711129991503823,0.17859892224788299,0.18739903069466882,1299.0
Polycystic_Ovary_Syndrome,0.12643678160919541,0.12087912087912088,0.12359550561797752,364.0
Stroke,0.0,0.0,0.0,13.0
Systemic_Lupus_Erythematosus,0.044444444444444446,0.06451612903225806,0.05263157894736842,31.0
Tuberculosis,0.07142857142857142,0.07692307692307693,0.07407407407407407,13.0
Type2_Diabetes,0.1359126984126984,0.13072519083969467,0.13326848249027237,1048.0
