disease_a,disease_b,mean_profile_difference,similar_symptoms_within_10_percent
Depression,Flu,0.041871752942627745,152
Chronic_Kidney_Disease,Cystic_Fibrosis,0.04639140577576761,156
Cystic_Fibrosis,Irritable_Bowel_Syndrome,0.04650295847067586,153
Hypertension,Hypothyroidism,0.046569770386261373,150
Chronic_Kidney_Disease,Pneumonia,0.046770117112001644,149
Flu,Osteoarthritis,0.04683557611438183,150
Hyperthyroidism,Irritable_Bowel_Syndrome,0.04813051371366194,147
COPD,Hyperthyroidism,0.048402745603143844,151
COVID19,Osteoarthritis,0.049673721961829204,147
Irritable_Bowel_Syndrome,Obesity,0.05035599751392855,149
Asthma,Type2_Diabetes,0.05094698400467191,140
Cystic_Fibrosis,Pneumonia,0.05152243163164092,145
COVID19,Chronic_Kidney_Disease,0.05246511853935152,142
Hypertension,Marfan_Syndrome,0.0535147077969505,145
Cystic_Fibrosis,Hyperthyroidism,0.053570576113990534,147
COPD,Depression,0.05388942466519551,140
COVID19,Marfan_Syndrome,0.05451333223765851,139
Depression,Osteoarthritis,0.05482041865741777,140
Asthma,Irritable_Bowel_Syndrome,0.05549582275175713,137
Coronary_Artery_Disease,Gastritis,0.05569947349765128,133
COVID19,Peptic_Ulcer_Disease,0.05617853182546923,146
COVID19,Pneumonia,0.056781517016855854,130
Chronic_Kidney_Disease,Osteoarthritis,0.056873443041948996,131
COVID19,Cystic_Fibrosis,0.05715956206749,144
Amyotrophic_Lateral_Sclerosis,Depression,0.0575904163385778,142
Cystic_Fibrosis,Osteoarthritis,0.05785269888507903,136
Amyotrophic_Lateral_Sclerosis,Irritable_Bowel_Syndrome,0.058174575573789064,142
Depression,Osteopetrosis,0.05822352718513643,143
Chronic_Kidney_Disease,Marfan_Syndrome,0.05925465687634508,141
Cystic_Fibrosis,Obesity,0.05935428886358752,136
Irritable_Bowel_Syndrome,Osteoarthritis,0.05948554924463678,125
COPD,Cystic_Fibrosis,0.0597842684151649,138
Hypertension,Polycystic_Ovary_Syndrome,0.06047231335058734,135
Common_Cold,Obesity,0.06048650441802948,135
Migraine,Spinal_Muscular_Atrophy,0.06052689110791625,141
COVID19,Hypertension,0.06071741534588357,134
Chronic_Kidney_Disease,Gastritis,0.060975594030565225,132
Depression,Irritable_Bowel_Syndrome,0.061090121054689826,131
Gastritis,Hyperthyroidism,0.06121802669520627,135
Coronary_Artery_Disease,Hypothyroidism,0.06134261898144981,135
