disease,precision,recall,f1-score,support
Amyotrophic_Lateral_Sclerosis,0.0,0.0,0.0,10.0
Asthma,0.4442407577146349,0.6827893871800892,0.5382693197593706,4259.0
COPD,0.29931972789115646,0.21359223300970873,0.24929178470254956,412.0
COVID19,0.056818181818181816,0.02457002457002457,0.03430531732418525,407.0
Chronic_Kidney_Disease,0.3291428571428571,0.2882882882882883,0.3073639274279616,999.0
Common_Cold,0.10232558139534884,0.049217002237136466,0.06646525679758308,447.0
Coronary_Artery_Disease,0.09917355371900827,0.06521739130434782,0.07868852459016394,184.0
Cystic_Fibrosis,0.0,0.0,0.0,33.0
Depression,0.21942446043165467,0.1314655172413793,0.16442048517520216,464.0
Ehlers_Danlos_Syndrome,0.0,0.0,0.0,5.0
Epilepsy,0.1724137931034483,0.0684931506849315,0.09803921568627451,73.0
Flu,0.263254113345521,0.20899854862119013,0.23300970873786409,689.0
Gastritis,0.27065868263473053,0.255079006772009,0.26263800116211505,886.0
Generalized_Anxiety_Disorder,0.0,0.0,0.0,19.0
Hypertension,0.11515151515151516,0.057750759878419454,0.07692307692307693,329.0
Hyperthyroidism,0.34864643150123054,0.3955328059562587,0.3706126008284282,2149.0
Hypothyroidism,0.11467889908256881,0.07418397626112759,0.09009009009009009,337.0
Irritable_Bowel_Syndrome,0.3174785100286533,0.30692520775623267,0.312112676056338,1805.0
Marfan_Syndrome,0.0,0.0,0.0,6.0
Migraine,0.1111111111111111,0.043010752688172046,0.06201550387596899,93.0
Obesity,0.35926773455377575,0.39974538510502866,0.37842723711961435,1571.0
Osteoarthritis,0.24347826086956523,0.16412661195779601,0.19607843137254902,853.0
Osteopetrosis,0.0,0.0,0.0,9.0
Peptic_Ulcer_Disease,0.43189655172413793,0.42930591259640105,0.4305973356252686,1167.0
Pneumonia,0.29261862917398945,0.25635103926096997,0.2732868280672959,1299.0
Polycystic_Ovary_Syndrome,0.2079646017699115,0.12912087912087913,0.15932203389830507,364.0
Stroke,0.0,0.0,0.0,13.0
Systemic_Lupus_Erythematosus,0.0,0.0,0.0,31.0
Tuberculosis,1.0,0.15384615384615385,0.26666666666666666,13.0
Type2_Diabetes,0.19243986254295534,0.10687022900763359,0.1374233128834356,1048.0
