Feature,RF Rank,MI Rank,Permutation Rank,Average Rank
symptom_dark_stools,1,1,2,1.3333333333333333
symptom_loss_of_appetite,2,2,1,1.6666666666666667
symptom_headache,4,10,3,5.666666666666667
symptom_numbness,3,13,8,8.0
symptom_seizures_symptom,18,17,6,13.666666666666666
symptom_night_sweats,7,4,36,15.666666666666666
symptom_melena,28,5,17,16.666666666666668
symptom_exertional_chest_pain,29,18,4,17.0
symptom_hot_flashes,5,20,33,19.333333333333332
symptom_myalgia,8,48,7,21.0
symptom_photosensitivity_symptom,14,19,34,22.333333333333332
symptom_dysphagia,21,24,23,22.666666666666668
symptom_heat_intolerance_symptom,35,14,22,23.666666666666668
symptom_facial_puffiness,11,45,21,25.666666666666668
symptom_polyphagia,42,21,20,27.666666666666668
symptom_constipation,44,9,42,31.666666666666668
symptom_muscle_cramps_symptom,41,27,38,35.333333333333336
symptom_morning_stiffness,20,84,5,36.333333333333336
symptom_unintentional_weight_loss,13,82,18,37.666666666666664
symptom_focal_weakness,66,28,19,37.666666666666664
symptom_abdominal_bloating,79,8,27,38.0
symptom_reduced_range_of_motion,12,92,13,39.0
symptom_wheezing,23,80,14,39.0
symptom_gi_bleeding,70,39,9,39.333333333333336
symptom_vomiting,64,7,49,40.0
symptom_orthopnea_symptom,43,66,11,40.0
symptom_weight_gain_symptom,61,3,61,41.666666666666664
symptom_panic_attacks,9,97,24,43.333333333333336
symptom_exercise_dyspnea,36,56,39,43.666666666666664
symptom_dizziness,88,33,16,45.666666666666664
symptom_social_withdrawal,10,90,37,45.666666666666664
symptom_paroxysmal_nocturnal_dyspnea,81,32,26,46.333333333333336
symptom_tremor_symptom,53,59,28,46.666666666666664
symptom_chills,52,60,29,47.0
symptom_nasal_congestion,39,71,32,47.333333333333336
symptom_diarrhea,93,36,15,48.0
symptom_bradycardia,50,75,25,50.0
symptom_sore_throat,32,52,70,51.333333333333336
symptom_shortness_of_breath,22,70,63,51.666666666666664
symptom_orthopnea,27,74,57,52.666666666666664
symptom_insomnia,15,96,47,52.666666666666664
symptom_cold_intolerance_symptom,65,37,56,52.666666666666664
symptom_loss_of_smell,48,63,48,53.0
symptom_weight_loss_unintentional,85,15,60,53.333333333333336
symptom_low_mood,6,112,43,53.666666666666664
symptom_muscle_weakness_msk,63,86,12,53.666666666666664
symptom_early_satiety,69,26,66,53.666666666666664
symptom_syncope,59,64,40,54.333333333333336
symptom_compulsions,26,104,35,55.0
symptom_polydipsia,62,50,55,55.666666666666664
symptom_pallor,45,113,10,56.0
symptom_loss_of_taste,58,77,41,58.666666666666664
symptom_peripheral_edema,67,34,77,59.333333333333336
symptom_spasticity,112,35,31,59.333333333333336
symptom_fever,60,38,81,59.666666666666664
symptom_photophobia,118,16,46,60.0
symptom_palpitations,86,51,44,60.333333333333336
symptom_arthralgia,80,30,72,60.666666666666664
symptom_runny_nose,25,106,52,61.0
symptom_bone_pain,16,110,59,61.666666666666664
symptom_resting_tachycardia,82,53,51,62.0
symptom_hemoptysis,24,88,76,62.666666666666664
symptom_nausea,113,12,67,64.0
symptom_obsessions,17,103,78,66.0
symptom_suicidal_ideation,19,109,73,67.0
symptom_shortness_of_breath_on_exertion,57,116,30,67.66666666666667
symptom_anhedonia,31,87,87,68.33333333333333
symptom_ecchymosis,46,115,50,70.33333333333333
symptom_pleuritic_chest_pain,38,83,94,71.66666666666667
symptom_hematemesis,98,11,110,73.0
symptom_cold_extremities,77,23,119,73.0
symptom_confusion_symptom,105,57,58,73.33333333333333
