,precision,recall,f1-score,support
Amyotrophic_Lateral_Sclerosis,0.3888888888888889,0.7,0.5,10.0
Asthma,0.8637770897832817,0.4585583470298192,0.599079754601227,4259.0
COPD,0.4020926756352765,0.6529126213592233,0.4976873265494912,412.0
COVID19,0.38058551617873654,0.6068796068796068,0.4678030303030303,407.0
Chronic_Kidney_Disease,0.5955265610438024,0.6396396396396397,0.6167953667953668,999.0
Common_Cold,0.42386831275720166,0.6912751677852349,0.5255102040816326,447.0
Coronary_Artery_Disease,0.27566539923954375,0.7880434782608695,0.4084507042253521,184.0
Cystic_Fibrosis,0.8421052631578947,0.9696969696969697,0.9014084507042254,33.0
Depression,0.4,0.6767241379310345,0.5028022417934348,464.0
Ehlers_Danlos_Syndrome,0.16666666666666666,0.4,0.23529411764705882,5.0
Epilepsy,0.27848101265822783,0.9041095890410958,0.4258064516129032,73.0
Flu,0.5081395348837209,0.6342525399129173,0.5642349903163331,689.0
Gastritis,0.5084745762711864,0.6094808126410836,0.5544147843942505,886.0
Generalized_Anxiety_Disorder,0.21428571428571427,0.3157894736842105,0.2553191489361702,19.0
Hypertension,0.3719298245614035,0.6443768996960486,0.47163515016685204,329.0
Hyperthyroidism,0.7406417112299465,0.5155886458818055,0.6079561042524005,2149.0
Hypothyroidism,0.2980132450331126,0.6676557863501483,0.41208791208791207,337.0
Irritable_Bowel_Syndrome,0.6886326194398682,0.4631578947368421,0.5538257701225572,1805.0
Marfan_Syndrome,0.125,0.16666666666666666,0.14285714285714285,6.0
Migraine,0.17884130982367757,0.7634408602150538,0.2897959183673469,93.0
Obesity,0.6885375494071146,0.5544239338001273,0.6142454160789845,1571.0
Osteoarthritis,0.5424083769633508,0.6072684642438453,0.5730088495575221,853.0
Osteopetrosis,0.30434782608695654,0.7777777777777778,0.4375,9.0
Peptic_Ulcer_Disease,0.6562998405103668,0.7052270779777207,0.6798843453118546,1167.0
Pneumonia,0.6277495769881557,0.5712086220169361,0.5981459089076985,1299.0
Polycystic_Ovary_Syndrome,0.3721590909090909,0.7197802197802198,0.49063670411985016,364.0
Stroke,0.0,0.0,0.0,13.0
Systemic_Lupus_Erythematosus,0.17582417582417584,0.5161290322580645,0.26229508196721313,31.0
Tuberculosis,0.23529411764705882,0.3076923076923077,0.26666666666666666,13.0
Type2_Diabetes,0.5878564857405704,0.6097328244274809,0.5985948477751757,1048.0
accuracy,0.5657855211775308,0.5657855211775308,0.5657855211775308,0.5657855211775308
macro avg,0.4280697653871664,0.5879163132460917,0.46845807967332187,19974.0
weighted avg,0.6428827757033009,0.5657855211775308,0.5773464432168364,19974.0
