,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1953,70,99,131,133,67,1,112,1,51,94,129,9,91,137,128,141,1,74,104,116,3,163,137,104,6,31,1,170
2,0,5,269,5,2,2,15,1,6,0,3,7,13,1,4,16,10,4,0,5,10,7,0,4,4,10,0,0,1,8
3,1,6,12,247,8,8,6,0,13,0,5,13,8,0,8,4,11,8,0,11,4,2,1,8,7,12,0,0,0,4
4,1,18,9,13,639,11,23,0,25,0,10,16,29,2,23,14,23,9,1,16,24,18,0,19,15,20,0,2,0,19
5,0,4,9,9,7,309,3,0,5,1,0,8,8,0,15,7,7,9,1,10,11,3,1,3,6,7,0,1,0,3
6,0,1,2,1,1,1,145,0,6,0,2,1,5,0,1,1,4,1,0,5,1,1,0,0,1,4,0,0,0,0
7,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,9,21,4,10,3,7,0,314,2,3,16,7,0,9,6,6,3,0,9,9,13,1,3,1,2,0,0,0,6
9,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,2,0,1,1,0,0,0,0,0,66,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11,0,4,20,18,8,3,9,0,16,1,9,437,10,1,6,13,17,23,0,11,9,22,0,5,10,22,1,0,0,14
12,0,13,11,27,24,17,33,0,9,0,8,14,540,0,13,17,27,8,2,20,15,16,2,15,23,20,0,4,0,8
13,0,1,0,1,1,1,1,0,0,0,0,2,1,6,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1
14,0,3,6,4,3,6,10,0,4,1,1,6,11,1,212,0,10,5,0,1,2,7,0,5,7,18,0,0,0,6
15,0,61,64,49,49,47,50,2,48,1,19,54,120,1,29,1108,79,48,0,34,44,49,6,34,55,50,0,8,4,36
16,0,2,4,5,2,11,4,0,5,1,1,6,9,0,10,9,225,5,0,6,5,8,0,2,4,7,0,2,0,4
17,0,57,47,43,39,43,46,0,51,1,31,62,50,2,35,50,77,836,0,26,76,63,1,40,42,27,1,5,0,54
18,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
19,2,0,3,2,0,1,0,0,3,0,0,0,0,0,1,2,2,2,0,71,0,0,0,1,0,2,0,0,0,1
20,3,27,37,36,53,58,34,1,52,0,16,33,34,3,24,26,38,39,0,22,871,39,0,16,33,32,1,3,1,39
21,1,6,17,13,23,11,14,1,32,0,3,24,16,0,12,15,21,16,1,18,15,518,0,20,25,14,0,1,0,16
22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0
23,0,22,17,25,11,6,14,0,22,0,2,14,18,1,13,15,18,13,0,8,12,23,0,823,27,36,0,1,1,25
24,0,28,29,27,28,34,21,0,33,1,7,25,26,1,38,29,22,17,0,19,32,25,1,47,742,34,0,6,2,25
25,0,3,5,3,4,3,3,0,6,0,0,6,7,0,9,3,12,1,1,7,3,5,0,11,6,262,0,1,0,3
26,0,4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
27,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,16,0,4
28,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,4,1
29,1,27,17,15,25,16,19,0,20,0,0,22,20,0,16,19,16,25,0,24,16,16,0,31,31,21,0,9,3,639
