,precision,recall,f1-score,support
Amyotrophic_Lateral_Sclerosis,0.35714285714285715,0.5,0.4166666666666667,10.0
Asthma,0.8466324046524208,0.7349142991312515,0.7868275515334339,4259.0
COPD,0.6004784688995215,0.6092233009708737,0.6048192771084338,412.0
COVID19,0.5754060324825986,0.6093366093366094,0.5918854415274463,407.0
Chronic_Kidney_Disease,0.6982591876208898,0.7227227227227228,0.7102803738317757,999.0
Common_Cold,0.6345733041575492,0.6487695749440716,0.6415929203539823,447.0
Coronary_Artery_Disease,0.5260663507109005,0.6032608695652174,0.5620253164556962,184.0
Cystic_Fibrosis,0.8461538461538461,1.0,0.9166666666666666,33.0
Depression,0.5664739884393064,0.6336206896551724,0.5981688708036622,464.0
Ehlers_Danlos_Syndrome,0.2857142857142857,0.4,0.3333333333333333,5.0
Epilepsy,0.4943820224719101,0.6027397260273972,0.5432098765432098,73.0
Flu,0.6388140161725068,0.6879535558780842,0.6624737945492662,689.0
Gastritis,0.6112702960840497,0.7223476297968398,0.6621831350232799,886.0
Generalized_Anxiety_Disorder,0.3333333333333333,0.15789473684210525,0.21428571428571427,19.0
Hypertension,0.5875,0.5714285714285714,0.5793528505392912,329.0
Hyperthyroidism,0.7720588235294118,0.7328990228013029,0.751969443781332,2149.0
Hypothyroidism,0.5024038461538461,0.6201780415430267,0.5551128818061088,337.0
Irritable_Bowel_Syndrome,0.7338003502626971,0.696398891966759,0.7146105741898806,1805.0
Marfan_Syndrome,0.5,0.16666666666666666,0.25,6.0
Migraine,0.48863636363636365,0.46236559139784944,0.47513812154696133,93.0
Obesity,0.7205700123915737,0.7402928071292171,0.7302982731554161,1571.0
Osteoarthritis,0.6702470461868958,0.731535756154748,0.6995515695067265,853.0
Osteopetrosis,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0
Peptic_Ulcer_Disease,0.734860883797054,0.7694944301628106,0.7517789870238594,1167.0
Pneumonia,0.7029774872912128,0.7451886066204773,0.7234678624813154,1299.0
Polycystic_Ovary_Syndrome,0.5634146341463414,0.6346153846153846,0.5968992248062015,364.0
Stroke,0.0,0.0,0.0,13.0
Systemic_Lupus_Erythematosus,0.5,0.25806451612903225,0.3404255319148936,31.0
Tuberculosis,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0
Type2_Diabetes,0.6776859504132231,0.7041984732824428,0.6906878802058961,1048.0
accuracy,0.7089215980775008,0.7089215980775008,0.7089215980775008,0.7089215980775008
macro avg,0.5754697962360897,0.5813489816375869,0.568216796721806,19974.0
weighted avg,0.7158224606660796,0.7089215980775008,0.710605709104332,19974.0
