,Amyotrophic_Lateral_Sclerosis,Asthma,COPD,COVID19,Chronic_Kidney_Disease,Common_Cold,Coronary_Artery_Disease,Cystic_Fibrosis,Depression,Ehlers_Danlos_Syndrome,Epilepsy,Flu,Gastritis,Generalized_Anxiety_Disorder,Hypertension,Hyperthyroidism,Hypothyroidism,Irritable_Bowel_Syndrome,Marfan_Syndrome,Migraine,Obesity,Osteoarthritis,Osteopetrosis,Peptic_Ulcer_Disease,Pneumonia,Polycystic_Ovary_Syndrome,Stroke,Systemic_Lupus_Erythematosus,Tuberculosis,Type2_Diabetes
Amyotrophic_Lateral_Sclerosis,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Asthma,0,3130,26,30,66,41,19,1,47,1,17,47,74,1,23,130,36,100,1,14,89,59,1,85,99,31,0,1,0,90
COPD,1,13,251,2,6,2,4,1,6,0,1,13,14,0,2,19,5,12,0,1,16,10,0,8,8,4,0,0,0,13
COVID19,0,11,5,248,4,9,2,0,7,0,2,11,14,0,4,14,7,11,0,3,8,6,1,10,16,6,0,0,0,8
Chronic_Kidney_Disease,1,30,2,6,722,6,9,0,13,0,3,11,27,1,12,29,7,16,0,0,26,18,0,16,20,10,1,0,0,13
Common_Cold,0,20,8,8,6,290,1,0,3,0,0,8,9,0,8,11,4,12,0,4,19,5,1,5,13,3,0,0,0,9
Coronary_Artery_Disease,0,4,1,4,7,2,111,0,4,0,0,1,10,0,0,8,4,7,0,1,2,6,0,4,3,5,0,0,0,0
Cystic_Fibrosis,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression,1,16,10,4,10,3,3,0,294,0,1,22,12,0,8,18,4,9,0,0,14,10,0,4,10,4,0,0,0,7
Ehlers_Danlos_Syndrome,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Epilepsy,0,4,0,1,2,0,1,0,2,0,44,0,0,0,0,2,0,6,0,0,5,4,0,1,1,0,0,0,0,0
Flu,0,23,8,9,13,4,3,0,11,1,1,474,10,0,3,19,8,28,0,3,12,15,0,10,10,12,0,0,0,12
Gastritis,0,22,10,13,18,4,10,0,13,0,4,12,640,0,3,21,14,16,0,1,19,11,1,10,23,6,0,2,0,13
Generalized_Anxiety_Disorder,0,5,0,0,1,0,0,0,0,0,0,1,2,3,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,1
Hypertension,0,18,5,3,6,3,2,0,4,1,0,3,12,1,188,8,8,8,0,1,9,8,0,8,11,7,0,0,0,15
Hyperthyroidism,0,86,23,18,34,12,10,2,18,0,5,25,68,0,12,1575,25,63,0,4,37,25,2,23,36,16,0,0,0,30
Hypothyroidism,0,14,1,5,7,6,0,0,2,0,0,12,11,0,5,14,209,9,0,0,12,10,0,6,9,2,0,0,0,3
Irritable_Bowel_Syndrome,0,72,19,18,21,20,10,0,20,0,5,33,38,1,15,45,27,1257,0,3,59,23,1,28,41,9,0,1,0,39
Marfan_Syndrome,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Migraine,2,3,2,3,0,1,0,0,5,0,0,0,4,0,0,8,3,4,0,43,2,2,0,1,3,4,0,0,0,3
Obesity,3,40,11,13,38,17,9,1,21,2,3,25,28,1,2,26,15,47,0,3,1163,27,0,13,25,10,1,0,0,27
Osteoarthritis,0,19,6,9,15,5,3,1,15,0,1,11,16,0,4,17,10,23,0,1,19,624,0,17,15,6,0,1,0,15
Osteopetrosis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Peptic_Ulcer_Disease,1,43,6,11,12,5,5,0,7,0,0,5,16,1,6,17,6,21,0,0,20,20,0,898,21,20,0,1,0,25
Pneumonia,0,45,11,8,21,13,2,0,13,0,2,13,18,0,10,26,8,22,0,5,33,23,0,29,968,12,0,0,1,16
Polycystic_Ovary_Syndrome,0,14,4,3,6,3,0,0,5,0,0,5,11,0,8,4,8,6,0,0,14,7,0,14,13,231,0,0,0,8
Stroke,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Systemic_Lupus_Erythematosus,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,0,0,2,1,0,8,0,3
Tuberculosis,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,4,0
Type2_Diabetes,0,50,8,14,17,9,7,0,7,0,0,9,10,0,7,22,8,31,0,1,28,14,1,28,25,11,0,2,1,738
