disease,precision,recall,f1-score,support
Amyotrophic_Lateral_Sclerosis,0.0,0.0,0.0,10.0
Asthma,0.43938078703703703,0.7130781873679267,0.5437292990779697,4259.0
COPD,0.4666666666666667,0.28883495145631066,0.3568215892053973,412.0
COVID19,0.109375,0.0171990171990172,0.029723991507430998,407.0
Chronic_Kidney_Disease,0.4603550295857988,0.3893893893893894,0.42190889370932755,999.0
Common_Cold,0.4050632911392405,0.07158836689038031,0.12167300380228137,447.0
Coronary_Artery_Disease,0.13636363636363635,0.016304347826086956,0.02912621359223301,184.0
Cystic_Fibrosis,0.0,0.0,0.0,33.0
Depression,0.32051282051282054,0.16163793103448276,0.2148997134670487,464.0
Ehlers_Danlos_Syndrome,0.0,0.0,0.0,5.0
Epilepsy,0.21052631578947367,0.1095890410958904,0.14414414414414414,73.0
Flu,0.35379061371841153,0.2844702467343977,0.3153660498793242,689.0
Gastritis,0.3353884093711467,0.30699774266365687,0.3205657041838539,886.0
Generalized_Anxiety_Disorder,0.3333333333333333,0.05263157894736842,0.09090909090909091,19.0
Hypertension,0.2302158273381295,0.0972644376899696,0.13675213675213677,329.0
Hyperthyroidism,0.3854688618468146,0.5011633317822243,0.4357677523770989,2149.0
Hypothyroidism,0.15151515151515152,0.02967359050445104,0.04962779156327544,337.0
Irritable_Bowel_Syndrome,0.36281299946723494,0.37728531855955677,0.36990765888104293,1805.0
Marfan_Syndrome,0.0,0.0,0.0,6.0
Migraine,0.0,0.0,0.0,93.0
Obesity,0.3991393222162453,0.47231063017186503,0.4326530612244898,1571.0
Osteoarthritis,0.3525641025641026,0.19343493552168817,0.2498107494322483,853.0
Osteopetrosis,0.0,0.0,0.0,9.0
Peptic_Ulcer_Disease,0.48774080560420313,0.4772922022279349,0.48245993936769166,1167.0
Pneumonia,0.3621575342465753,0.325635103926097,0.3429266315362789,1299.0
Polycystic_Ovary_Syndrome,0.3873239436619718,0.1510989010989011,0.21739130434782608,364.0
Stroke,0.0,0.0,0.0,13.0
Systemic_Lupus_Erythematosus,0.3333333333333333,0.0967741935483871,0.15,31.0
Tuberculosis,0.0,0.0,0.0,13.0
Type2_Diabetes,0.3105590062111801,0.1431297709923664,0.1959503592423253,1048.0
