disease,precision,recall,f1-score,support
Amyotrophic_Lateral_Sclerosis,0.0,0.0,0.0,10.0
Asthma,0.39284735543984656,0.6731627142521719,0.496149519771567,4259.0
COPD,0.325,0.15776699029126215,0.21241830065359477,412.0
COVID19,0.21621621621621623,0.019656019656019656,0.036036036036036036,407.0
Chronic_Kidney_Disease,0.2932692307692308,0.24424424424424424,0.2665210267613326,999.0
Common_Cold,0.09259259259259259,0.011185682326621925,0.01996007984031936,447.0
Coronary_Artery_Disease,0.11904761904761904,0.02717391304347826,0.04424778761061947,184.0
Cystic_Fibrosis,0.0,0.0,0.0,33.0
Depression,0.25957446808510637,0.1314655172413793,0.17453505007153075,464.0
Ehlers_Danlos_Syndrome,0.0,0.0,0.0,5.0
Epilepsy,0.12121212121212122,0.0547945205479452,0.07547169811320754,73.0
Flu,0.30360205831903947,0.25689404934687954,0.2783018867924528,689.0
Gastritis,0.2678958785249458,0.27878103837471785,0.27323008849557523,886.0
Generalized_Anxiety_Disorder,0.5,0.05263157894736842,0.09523809523809523,19.0
Hypertension,0.16981132075471697,0.08206686930091185,0.11065573770491803,329.0
Hyperthyroidism,0.3154562383612663,0.3941368078175896,0.35043442283822923,2149.0
Hypothyroidism,0.17894736842105263,0.050445103857566766,0.0787037037037037,337.0
Irritable_Bowel_Syndrome,0.26835286859962987,0.2409972299168975,0.2539404553415061,1805.0
Marfan_Syndrome,0.0,0.0,0.0,6.0
Migraine,0.1111111111111111,0.010752688172043012,0.0196078431372549,93.0
Obesity,0.31132612407512805,0.3481858688733291,0.32872596153846156,1571.0
Osteoarthritis,0.26095238095238094,0.16060961313012895,0.1988388969521045,853.0
Osteopetrosis,0.0,0.0,0.0,9.0
Peptic_Ulcer_Disease,0.38857602574416733,0.4138817480719794,0.4008298755186722,1167.0
Pneumonia,0.25561580170410536,0.2540415704387991,0.2548262548262548,1299.0
Polycystic_Ovary_Syndrome,0.3010752688172043,0.07692307692307693,0.12253829321663019,364.0
Stroke,0.0,0.0,0.0,13.0
Systemic_Lupus_Erythematosus,0.16666666666666666,0.03225806451612903,0.05405405405405406,31.0
Tuberculosis,0.0,0.0,0.0,13.0
Type2_Diabetes,0.28,0.06679389312977099,0.10785824345146379,1048.0
