disease,precision,recall,f1-score,support
Amyotrophic_Lateral_Sclerosis,0.0,0.0,0.0,10.0
Asthma,0.43451952168275465,0.7081474524536276,0.5385714285714286,4259.0
COPD,0.32661290322580644,0.1966019417475728,0.24545454545454545,412.0
COVID19,0.06504065040650407,0.019656019656019656,0.03018867924528302,407.0
Chronic_Kidney_Disease,0.36523929471032746,0.2902902902902903,0.3234802007808143,999.0
Common_Cold,0.1342281879194631,0.0447427293064877,0.06711409395973154,447.0
Coronary_Artery_Disease,0.0990990990990991,0.059782608695652176,0.07457627118644068,184.0
Cystic_Fibrosis,0.0,0.0,0.0,33.0
Depression,0.2641509433962264,0.15086206896551724,0.19204389574759945,464.0
Ehlers_Danlos_Syndrome,0.0,0.0,0.0,5.0
Epilepsy,0.25,0.0821917808219178,0.12371134020618557,73.0
Flu,0.280561122244489,0.20319303338171263,0.2356902356902357,689.0
Gastritis,0.2914507772020725,0.25395033860045146,0.27141133896260555,886.0
Generalized_Anxiety_Disorder,0.0,0.0,0.0,19.0
Hypertension,0.1357142857142857,0.057750759878419454,0.08102345415778252,329.0
Hyperthyroidism,0.3535031847133758,0.41321544904606794,0.38103411285131944,2149.0
Hypothyroidism,0.14354066985645933,0.08902077151335312,0.10989010989010989,337.0
Irritable_Bowel_Syndrome,0.3275563258232236,0.3141274238227147,0.3207013574660634,1805.0
Marfan_Syndrome,0.0,0.0,0.0,6.0
Migraine,0.09090909090909091,0.03225806451612903,0.047619047619047616,93.0
Obesity,0.3601303639326453,0.42202418841502226,0.3886283704572098,1571.0
Osteoarthritis,0.258364312267658,0.16295427901524032,0.19985621854780733,853.0
Osteopetrosis,0.0,0.0,0.0,9.0
Peptic_Ulcer_Disease,0.42083333333333334,0.43273350471293914,0.42670046472327844,1167.0
Pneumonia,0.2921550946798918,0.24942263279445728,0.2691029900332226,1299.0
Polycystic_Ovary_Syndrome,0.2028985507246377,0.11538461538461539,0.14711033274956217,364.0
Stroke,0.0,0.0,0.0,13.0
Systemic_Lupus_Erythematosus,0.0,0.0,0.0,31.0
Tuberculosis,1.0,0.07692307692307693,0.14285714285714285,13.0
Type2_Diabetes,0.20233463035019456,0.09923664122137404,0.13316261203585147,1048.0
