Feature,RF Rank,MI Rank,Permutation Rank,Average Rank
symptom_dark_stools,1,1,2,1.3333333333333333
symptom_loss_of_appetite,2,2,1,1.6666666666666667
symptom_headache,4,10,3,5.666666666666667
symptom_numbness,3,13,8,8.0
symptom_seizures_symptom,18,17,6,13.666666666666666
symptom_night_sweats,7,4,36,15.666666666666666
symptom_melena,28,5,17,16.666666666666668
symptom_exertional_chest_pain,29,18,4,17.0
symptom_hot_flashes,5,20,33,19.333333333333332
symptom_myalgia,8,48,7,21.0
symptom_photosensitivity_symptom,14,19,34,22.333333333333332
symptom_dysphagia,21,24,23,22.666666666666668
symptom_heat_intolerance_symptom,35,14,22,23.666666666666668
symptom_facial_puffiness,11,45,21,25.666666666666668
symptom_polyphagia,42,21,20,27.666666666666668
symptom_constipation,44,9,42,31.666666666666668
symptom_muscle_cramps_symptom,41,27,38,35.333333333333336
symptom_morning_stiffness,20,84,5,36.333333333333336
symptom_unintentional_weight_loss,13,82,18,37.666666666666664
symptom_focal_weakness,66,28,19,37.666666666666664
